uniname,subscribers,videos,views,average
Staffordshire University,0,1917,1813101,946
The University of Sheffield,14100,318,1800182,5661
University of Kent,8420,744,1789805,2406
University of Southampton,7820,247,1720953,6967
Birkbeck,6560,1017,1669447,1642
The University of Warwick,8440,734,1651959,2251
Anglia Ruskin University,4940,1039,1639241,1578
University of East Anglia,5190,331,1636888,4945
University of Bath,8870,617,1609207,2608
The University of York,7190,546,1586748,2906
Harper Adams University,2460,623,1577050,2531
Aberystwyth University,2820,708,1563074,2208
Aston University,3630,356,1488331,4181
University of Huddersfield,3190,744,1487963,2000
Teesside University,3110,654,1487042,2274
University of Aberdeen,7700,778,1486141,1910
Lancaster University,6640,806,1476244,1832
University of Westminster,15900,278,1413667,5085
Edge Hill University,2880,350,1387202,3963
St Mary's University,0,578,1352940,2341
University of Wolverhampton,5070,1117,1343078,1202
University of Bedfordshire,4670,523,1304861,2495
University of Brighton,3660,985,1302269,1322
Leeds Beckett University,3070,1330,1280754,963
Sheffield Hallam University,3360,645,1234868,1915
Northumbria University,3370,532,1233198,2318
University of Greenwich,6680,218,1216305,5579
Heriot-Watt University,3530,311,1203789,3871
University of Glasgow,15800,385,1202487,3123
Glasgow Caledonian University,0,941,1198598,1274
Brunel University London,7350,1021,1193056,1169
Bangor University,6500,679,1187121,1748
Queen's University Belfast,6940,850,1179136,1387
Keele University,3090,639,1089628,1705
University of Chester,2250,435,1085737,2496
Northern School of Contemporary Dance,3520,123,1042008,8472
University of Sunderland,2920,376,1034273,2751
University of West London,3850,515,1032358,2005
University of Bradford,3180,252,1009642,4007
Nottingham Trent University,7780,317,990545,3125
University of Liverpool,4400,407,988851,2430
University of the Arts London,13800,450,970187,2156
Swansea University,1750,386,902457,2338
Royal Northern College of Music,0,142,886250,6241
Royal Conservatoire of Scotland,4110,398,881968,2216
School of Advanced Study,5360,1939,867858,448
University of Stirling,1900,355,804569,2266
The Royal Central School of Speech and Drama,3060,157,797224,5078
Hartpury University and Hartpury College,3280,87,760810,8745
The University of Hull,1840,404,702066,1738
Manchester Metropolitan University,3020,527,669462,1270
Cranfield University,2700,345,668348,1937
University of Dundee,11000,405,658330,1626
Robert Gordon University,2820,365,656799,1799
University of Hertfordshire,6640,769,647932,843
Canterbury Christ Church University,1820,483,634700,1314
Royal Holloway,2970,648,595034,918
University for the Creative Arts,4010,294,570452,1940
The Courtauld Institute of Art,3360,281,559301,1990
The University of Law,6390,255,545795,2140
Bath Spa University,1330,229,544570,2378
Arts University Bournemouth,1120,292,538586,1844
St George's,1830,128,509003,3977
Abertay University,1100,667,500739,751
Goldsmiths,4990,261,484626,1857
Cardiff Metropolitan University,2380,305,480353,1575
Ulster University,1120,596,472375,793
Liverpool Hope University,982,741,452571,611
London Metropolitan University,3110,391,448038,1146
The University of Buckingham,1350,302,440558,1459
York St John University,1080,376,439738,1170
London School of Hygiene and Tropical Medicine,3650,210,439478,2093
University of Salford,3430,352,433537,1232
University of Suffolk,631,100,419039,4190
University of Cumbria,1160,225,417529,1856
Trinity Laban Conservatoire of Music and Dance,1840,301,404187,1343
University of Portsmouth,2570,89,372290,4183
University of Gloucestershire,1170,185,370614,2003
University of Wales Trinity Saint David,1070,562,363953,648
Wrexham Glyndwr University,1020,399,333663,836
University of Bolton,1080,290,321686,1109
Plymouth College of Art,428,82,315029,3842
The University of Winchester,1450,243,304739,1254
University of Roehampton,1720,126,303557,2409
Royal College of Art,7350,145,299761,2067
University of the West of Scotland,2270,367,297612,811
University of Strathclyde,3630,162,246810,1524
University College Birmingham,1480,329,240513,731
Edinburgh Napier University,2290,238,237009,996
Leeds College of Music,1230,162,230500,1423
University of the Highlands and Islands,914,271,213297,787
Rose Bruford College,1060,103,187911,1824
Leeds Trinity University,577,302,187628,621
European School of Economics,1010,227,185675,818
Ravensbourne University London,461,208,168088,808
Queen Margaret University,585,192,166576,868
Liverpool Institute for Performing Arts,906,52,162672,3128
University of St Andrews,2670,86,142859,1661
Plymouth Marjon University,279,174,142741,820
Richmond,494,96,136175,1418
The Glasgow School of Art,1080,94,134138,1427
Royal Veterinary College University of London,2600,66,130204,1973
Newman University,0,72,122494,1701
Falmouth University,1300,91,115872,1273
The London Institute of Banking and Finance,683,100,101360,1014
Leeds Arts University,948,67,94427,1409
Regent's University London,1290,84,73091,870
Royal Agricultural University,810,46,71578,1556
Writtle University College,167,57,63007,1105
Bishop Grosseteste University,204,66,57209,867
Norwich University of the Arts,602,115,38583,336
University of Chichester,555,58,36564,630
Liverpool School of Tropical Medicine,479,55,25199,458
University of Wales,39,4,18515,4629
