uniname,subscribers,videos,views,average
The University of Winchester,1450,243,304739,1254
The University of Buckingham,1350,302,440558,1459
Bath Spa University,1330,229,544570,2378
Falmouth University,1300,91,115872,1273
Regent's University London,1290,84,73091,870
Leeds College of Music,1230,162,230500,1423
Buckinghamshire New University,1170,395,1902866,4817
University of Gloucestershire,1170,185,370614,2003
University of Cumbria,1160,225,417529,1856
Ulster University,1120,596,472375,793
Arts University Bournemouth,1120,292,538586,1844
Abertay University,1100,667,500739,751
University of Bolton,1080,290,321686,1109
York St John University,1080,376,439738,1170
The Glasgow School of Art,1080,94,134138,1427
University of Wales Trinity Saint David,1070,562,363953,648
Rose Bruford College,1060,103,187911,1824
Wrexham Glyndwr University,1020,399,333663,836
European School of Economics,1010,227,185675,818
Liverpool Hope University,982,741,452571,611
Leeds Arts University,948,67,94427,1409
University of the Highlands and Islands,914,271,213297,787
Liverpool Institute for Performing Arts,906,52,162672,3128
Royal Agricultural University,810,46,71578,1556
The London Institute of Banking and Finance,683,100,101360,1014
University of Suffolk,631,100,419039,4190
Norwich University of the Arts,602,115,38583,336
Queen Margaret University,585,192,166576,868
Leeds Trinity University,577,302,187628,621
University of Chichester,555,58,36564,630
Richmond,494,96,136175,1418
Liverpool School of Tropical Medicine,479,55,25199,458
Ravensbourne University London,461,208,168088,808
Plymouth College of Art,428,82,315029,3842
Plymouth Marjon University,279,174,142741,820
Bishop Grosseteste University,204,66,57209,867
Writtle University College,167,57,63007,1105
University of Wales,39,4,18515,4629
Newman University,0,72,122494,1701
Glasgow Caledonian University,0,941,1198598,1274
Staffordshire University,0,1917,1813101,946
University of Leeds,0,1258,2221346,1766
Cardiff University,0,548,1872270,3417
Durham University,0,1015,3756269,3701
St Mary's University,0,578,1352940,2341
Royal Northern College of Music,0,142,886250,6241
