uniname,subscribers,videos,views,average
Heriot-Watt University,3530,311,1203789,3871
Nottingham Trent University,7780,317,990545,3125
The University of Sheffield,14100,318,1800182,5661
University College Birmingham,1480,329,240513,731
University of East Anglia,5190,331,1636888,4945
Cranfield University,2700,345,668348,1937
Edge Hill University,2880,350,1387202,3963
University of Salford,3430,352,433537,1232
University of Stirling,1900,355,804569,2266
Aston University,3630,356,1488331,4181
Robert Gordon University,2820,365,656799,1799
University of the West of Scotland,2270,367,297612,811
University of Sunderland,2920,376,1034273,2751
York St John University,1080,376,439738,1170
University of Glasgow,15800,385,1202487,3123
Swansea University,1750,386,902457,2338
London South Bank University,3850,389,1832593,4711
London Metropolitan University,3110,391,448038,1146
University of Plymouth,3210,392,2094952,5344
Buckinghamshire New University,1170,395,1902866,4817
University of London,24800,397,2478649,6243
Royal Conservatoire of Scotland,4110,398,881968,2216
Wrexham Glyndwr University,1020,399,333663,836
The University of Hull,1840,404,702066,1738
University of Dundee,11000,405,658330,1626
University of Liverpool,4400,407,988851,2430
University of Lincoln,3480,419,2424368,5786
University of Chester,2250,435,1085737,2496
University of the Arts London,13800,450,970187,2156
Newcastle University,9590,459,4075989,8880
Canterbury Christ Church University,1820,483,634700,1314
University of West London,3850,515,1032358,2005
University of Bedfordshire,4670,523,1304861,2495
Manchester Metropolitan University,3020,527,669462,1270
Coventry University,10700,527,3138113,5955
Northumbria University,3370,532,1233198,2318
The University of York,7190,546,1586748,2906
University College London,23400,547,4780019,8739
Cardiff University,0,548,1872270,3417
University of Wales Trinity Saint David,1070,562,363953,648
Middlesex University,9280,571,2696521,4722
St Mary's University,0,578,1352940,2341
University of Sussex,4960,591,2240190,3791
Ulster University,1120,596,472375,793
Oxford Brookes University,8640,608,2351556,3868
University of Bath,8870,617,1609207,2608
University of Bristol,18200,619,4630616,7481
Harper Adams University,2460,623,1577050,2531
University of Surrey,16700,632,4240390,6709
Keele University,3090,639,1089628,1705
Sheffield Hallam University,3360,645,1234868,1915
City,7260,648,2729842,4213
Royal Holloway,2970,648,595034,918
Teesside University,3110,654,1487042,2274
Abertay University,1100,667,500739,751
The University of Manchester,21600,669,3512661,5251
Bangor University,6500,679,1187121,1748
The University of Northampton,3550,680,5310570,7810
University of Oxford,197000,694,11056781,15932
Queen Mary University of London,7040,695,1909065,2747
Aberystwyth University,2820,708,1563074,2208
University of South Wales,40200,724,39327657,54320
Loughborough University,10700,725,3044762,4200
The University of Warwick,8440,734,1651959,2251
Liverpool Hope University,982,741,452571,611
University of Kent,8420,744,1789805,2406
University of Huddersfield,3190,744,1487963,2000
University of Reading,5480,762,2687665,3527
The University of Edinburgh,73300,766,11478047,14984
University of Hertfordshire,6640,769,647932,843
Solent University,45300,773,10756602,13915
University of Aberdeen,7700,778,1486141,1910
University of East London,60600,800,8501402,10627
Lancaster University,6640,806,1476244,1832
University of Essex,15000,811,2217979,2735
Queen's University Belfast,6940,850,1179136,1387
University of the West of England,6120,909,6426705,7070
University of Leicester,38700,940,17768725,18903
Glasgow Caledonian University,0,941,1198598,1274
University of Brighton,3660,985,1302269,1322
University of Derby,14700,993,7066931,7117
Liverpool John Moores University,8460,1009,2229972,2210
Durham University,0,1015,3756269,3701
Birkbeck,6560,1017,1669447,1642
Kingston University,7760,1020,2875473,2819
Brunel University London,7350,1021,1193056,1169
Anglia Ruskin University,4940,1039,1639241,1578
King's College London,25300,1067,4174596,3912
London Business School,50400,1070,4307552,4026
University of Cambridge,231000,1080,27099498,25092
De Montfort University,7050,1115,27049168,24259
University of Wolverhampton,5070,1117,1343078,1202
University of Leeds,0,1258,2221346,1766
Leeds Beckett University,3070,1330,1280754,963
University of Central Lancashire,4260,1366,1948439,1426
Bournemouth University,6600,1406,2973730,2115
University of Exeter,9150,1456,7942275,5455
Birmingham City University,10100,1503,3695850,2459
SOAS,23100,1533,3842912,2507
Imperial College London,127000,1854,17136487,9243
Staffordshire University,0,1917,1813101,946
School of Advanced Study,5360,1939,867858,448
The University of Nottingham,47700,2145,10057111,4689
University of Birmingham,38900,2888,7633744,2643
The London School of Economics and Political Science,161000,2895,13481787,4657
